Name,Quantity,Price,Shipping Cost,URL,Alternatives
Switches,90,52.85,0,https://www.aliexpress.com/item/1005006452489564.html,
keycaps,1,23.25,0,https://www.aliexpress.com/item/1005006068241056.html?spm=a2g0o.productlist.main.1.7eef38aa0RnHCn&algo_pvid=1c902454-6296-4319-8967-3e48666f335f&algo_exp_id=1c902454-6296-4319-8967-3e48666f335f-0&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2123.30%2123.30%21%21%21166.41%21166.41%21%40212a6e3217529497827295133ecb6f%2112000035580587851%21sea%21PK%210%21ABX&curPageLogUid=tW6SjC2WuS3F&utparam-url=scene%3Asearch%7Cquery_from%3A,
hotswapable sockets,110,15.39,,https://www.aliexpress.com/item/1005009187521124.html?spm=a2g0o.detail.0.0.780e2Ox32Ox32s&mp=1&pdp_npi=5%40dis%21USD%21USD%2031.41%21USD%2015.39%21%21USD%2015.39%21%21%21%40213ba0c517541321927955282eabc0%2112000048235529402%21ct%21PK%212630002641%21%211%210,
stabalizers,1x set,10.77,0,https://www.aliexpress.com/item/1005001686299616.html?spm=a2g0o.productlist.main.20.372a539eTT7imh&algo_pvid=153ef109-0f58-4e33-af6f-e88bf530d4bb&algo_exp_id=153ef109-0f58-4e33-af6f-e88bf530d4bb-17&pdp_ext_f=%7B%22order%22%3A%22111%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%219.97%219.97%21%21%219.97%219.97%21%400b1bf20817540126362637727eb40c%2112000017133740376%21sea%21PK%212630002641%21ABX&curPageLogUid=qcg1XeDc0g1Q&utparam-url=scene%3Asearch%7Cquery_from%3A,
Custom PCB,5,20,25,jlcpcb,
magnetic pogo pins,2 3p and 2 4p,20.28,0,https://www.aliexpress.com/item/1005008564171277.html?spm=a2g0o.productlist.main.20.3b423ab4TdmkLN&algo_pvid=c5df8995-8087-4326-9389-d1b8b6b414d1&algo_exp_id=c5df8995-8087-4326-9389-d1b8b6b414d1-19&pdp_ext_f=%7B%22order%22%3A%2259%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.32%215.32%21%21%215.32%215.32%21%402140e67317532169552073578ef374%2112000045737583172%21sea%21PK%212630002641%21ABX&curPageLogUid=yxPAUkE4iLJt&utparam-url=scene%3Asearch%7Cquery_from%3A,
microcontroller,1,10.27,5,https://www.aliexpress.com/item/1005007416714633.html?spm=a2g0o.productlist.main.13.5bac7453iWroKH&algo_pvid=c309e011-56bc-4282-90c0-70b277f09e17&algo_exp_id=c309e011-56bc-4282-90c0-70b277f09e17-12&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2110.27%2110.27%21%21%2173.50%2173.50%21%402140f54217540139935815159e1c15%2112000040663668630%21sea%21PK%212630002641%21ABX&curPageLogUid=sXDTBAuc9ter&utparam-url=scene%3Asearch%7Cquery_from%3A,https://www.aliexpress.com/item/1005009100619887.html?spm=a2g0o.productlist.main.12.408b7691rknDMQ&algo_pvid=21f2f202-ab44-4c76-a01c-de43d528c275&algo_exp_id=21f2f202-ab44-4c76-a01c-de43d528c275-11&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.71%215.71%21%21%2141.00%2141.00%21%400b1bf20817542331002193307eb45b%2112000047916394866%21sea%21PK%212630002641%21ABX&curPageLogUid=W8ccJ5NjX52u&utparam-url=scene%3Asearch%7Cquery_from%3A
I2C expander,2,4.68,9.29,https://lcsc.com/product-detail/I-O-Expanders_Texas-Instruments-PCF8575DBR_C2863388.html,
battery,1,6.3,0,https://www.aliexpress.com/item/1005001651303033.html?spm=a2g0o.productlist.main.7.5cf8KsvuKsvuZN&algo_pvid=1ab6543a-03ee-4df7-919e-5c6a285e4062&algo_exp_id=1ab6543a-03ee-4df7-919e-5c6a285e4062-6&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%218.97%216.28%21%21%218.97%216.28%21%40212e520f17536453916207148ebfd5%2112000016984375084%21sea%21PK%212630002641%21ABX&curPageLogUid=2FafuOFAYTom&utparam-url=scene%3Asearch%7Cquery_from%3A,https://www.multanelectronics.com/product/high-quality-3-7v-10000mah-1260110-polymer-lithium-ion-li-ion-rechargeable-battery-2/
Battery protection module,1,4,0,https://www.aliexpress.com/item/1005007507131765.html?spm=a2g0o.productlist.main.4.70453092e1Q7Wu&aem_p4p_detail=202507271249518326134990954000004210011&algo_pvid=9af263b9-8a50-484e-a0e6-45e89c078cd5&algo_exp_id=9af263b9-8a50-484e-a0e6-45e89c078cd5-3&pdp_ext_f=%7B%22order%22%3A%22411%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.00%214.00%21%21%2128.47%2128.47%21%402101529317536457912916885ed884%2112000041063720621%21sea%21PK%212630002641%21ABX&curPageLogUid=mILoITfTRryR&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507271249518326134990954000004210011_1#nav-specification,https://www.aliexpress.com/w/wholesale--Li%2525252dIon-Battery-Protection-Board-BMS-1S-3A%252F.html?spm=a2g0o.detail.search.0
charging module,will supply myself,0,,https://electrobes.com/product/tp4056-5v-micro-usb-1a-18650-lithium-battery-charging-board-charger-module/,https://electrobes.com/product/tp4056-c-type-usb-port-1a-18650-lithium-battery-charging-board-charger-module/
Boost converter,will supply myself,0,,https://electrobes.com/product/dc-dc-2a-adjustable-boost-power-supply-converter-step-up-module-2-24v/,
Rotatory Encoder,already owned,,,,
OLED module,1,5,0,https://www.aliexpress.com/item/1005006351390199.html?spm=a2g0o.productlist.main.6.4c3241b5MhChjm&algo_pvid=2862af79-8454-4e98-923a-ef052d48bd31&algo_exp_id=2862af79-8454-4e98-923a-ef052d48bd31-5&pdp_ext_f=%7B%22order%22%3A%22114%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.93%214.93%21%21%2135.25%2135.25%21%40212e520f17543271181943753ef789%2112000036858011577%21sea%21PK%212630002641%21ABX&curPageLogUid=8IjKgAsT1bg5&utparam-url=scene%3Asearch%7Cquery_from%3A,
Total,,172.79,39.29,,
,,,,,
Complete Cost,212.69,,,,
